recipe_id,ingredient_id,quantity,unit
7,222,,
7,223,,teaspoon
7,224,1,teaspoon
7,225,2,taste
7,226,,
7,227,,
7,228,8,
7,229,4,
7,230,1,teaspoon
7,231,1,taste
7,232,,
7,233,,
7,234,,tablespoon
8,235,1,
8,236,,
8,237,3,tablespoon
8,238,1,teaspoon
8,239,1,teaspoons
8,240,2,taste
8,241,,
8,242,,
8,243,,cups
8,244,2,
8,245,10,teaspoons
8,246,2,
8,247,1,
8,248,10,
8,249,4,
8,250,,
8,251,,teaspoon
8,252,1,
8,253,1,
8,254,20,
8,255,6,
8,256,4,tablespoons
8,257,1,
8,258,1/4,tablespoons
8,259,2,
8,260,2,
8,261,8,taste
8,262,,tablespoon
8,263,1,
8,264,1,
8,265,1,
8,266,2,
8,267,1,teaspoon
8,268,1,tablespoons
8,269,3,
8,270,1,teaspoon
8,271,1/2,taste
8,272,,tablespoon
8,273,4,
8,274,3,teaspoon
8,275,1,tablespoons
8,276,3,
8,277,1,tablespoon
8,278,2,
8,279,,taste
8,280,,
8,281,,teaspoon
8,282,1,cups
8,283,1,
8,284,1,
8,285,1,
8,286,2,teaspoon
8,287,1,teaspoon
8,288,1/2,teaspoon
8,289,1,taste
8,290,,teaspoon
8,291,1,
8,292,,cups
8,293,2,teaspoon
8,294,1,taste
8,295,,
8,296,,
8,297,1,
8,298,1,teaspoon
8,299,2,teaspoon
8,300,1,teaspoon
8,301,1,taste
8,302,,
9,303,,
9,304,1,tablespoon
9,305,2,
9,306,,
9,307,,teaspoon
9,308,2,teaspoons
9,309,2,taste
9,310,,tablespoons
9,311,1,
9,312,,
9,313,1,
9,314,1,
9,315,1/2,
9,316,,
9,317,4,
9,318,1/2,
9,319,1,
9,320,4,taste
9,321,,
9,322,,
9,323,,
9,324,4,
9,325,1/2,
9,326,30,tablespoons
9,327,3,
9,328,1,
9,329,,teaspoon
9,330,1,
9,331,2,
10,332,1,
10,333,,
10,334,2,
10,335,4,
10,336,18,
10,337,,tablespoon
10,338,2,
10,339,1,
10,340,2,
10,341,,tablespoon
10,342,2,
10,343,2,
10,344,1,taste
10,345,,
10,346,1/4,teaspoon
10,347,1,
10,348,2,
10,349,,tablespoon
10,350,1,
10,351,2,
10,352,2,
10,353,7,
10,354,1,
10,355,2,
10,356,2,
10,357,1/2,
10,358,,
10,359,2,
10,360,6,
10,361,2,
10,362,1,
10,363,1,
10,364,1/2,
10,365,1,
10,366,1/2,
10,367,1/2,
10,368,,
10,369,,
10,370,1,
10,371,2,taste
10,372,,
10,373,,
10,374,,
10,375,1/2,
10,376,2,
10,377,3,
10,378,8,taste
10,379,,
10,380,,tablespoons
10,381,2,tablespoons
10,382,2,
10,383,1/2,
10,384,4,teaspoon
10,385,1,tablespoon
10,386,1,
10,387,,teaspoon
10,388,1,
10,389,4,taste
10,390,,teaspoon
10,391,1,
10,392,2,
10,393,1,
11,394,1,tablespoon
11,395,1,
11,396,2,teaspoon
11,397,1,tablespoons
11,398,2,tablespoons
11,399,2,taste
11,400,,
11,401,,
11,402,2,taste
11,403,,
11,404,,
11,405,,
11,406,1,
11,407,1,
11,408,1,
11,409,7,teaspoon
11,410,1,
11,411,1,tablespoon
11,412,1,taste
11,413,,
11,414,,tablespoons
11,415,2,teaspoon
11,416,1,
11,417,5,
11,418,750,tablespoons
11,419,1,
11,420,1,
11,421,1,
12,422,2,
12,423,1/2,
12,424,3/4,taste
12,425,,
12,426,,
12,427,3,
12,428,,
12,429,1,
12,430,1/2,
12,431,1/2,
12,432,1,
12,433,2,
12,434,1,
12,435,4,
12,436,2,tablespoon
12,437,1,tablespoon
12,438,2,taste
12,439,,gram
12,440,300,teaspoon
12,441,1,teaspoon
12,442,1,teaspoon
12,443,1,taste
12,444,,teaspoon
13,445,2,
13,446,,
13,447,1/3,
13,448,2,
13,449,1,
13,450,1/4,tablespoon
13,451,1,
13,452,1,teaspoon
13,453,2,taste
13,454,,
13,455,100,
13,456,2,
13,457,1,
13,458,2,
13,459,5,teaspoon
13,460,1/2,
13,461,1/2,teaspoons
13,462,3,taste
13,463,,teaspoon
13,464,1,taste
13,465,,
13,466,,
13,467,,teaspoons
13,468,1,
13,469,1,
13,470,1,
13,471,,
14,472,4,tablespoons
14,473,3,
14,474,6,
14,475,,
14,476,,
14,477,1,teaspoon
14,478,1/4,tablespoon
14,479,1,taste
14,480,,
14,481,,teaspoon
14,482,1/4,teaspoon
14,483,2,taste
14,484,,
14,485,,
14,486,1,
14,487,5,taste
14,488,,
14,489,,tablespoon
14,490,1,
14,491,5,
14,492,5,
14,493,4,
14,494,2,
14,495,,taste
14,496,,teaspoon
14,497,1/2,cups
14,498,2,
14,499,1,teaspoon
14,500,2,
14,501,1,taste
14,502,,
14,503,,
14,504,,
14,505,1,tablespoon
14,506,3,
14,507,4,teaspoon
14,508,1,
14,509,4,
14,510,1,teaspoon
14,511,1/4,
14,512,1,
14,513,8,
14,514,1/4,
14,515,1/4,
15,516,7,
15,517,,cups
15,518,2,taste
15,519,,
15,520,,
15,521,500,tablespoon
15,522,1,teaspoon
15,523,1,teaspoon
15,524,1,taste
15,525,,
15,526,,teaspoon
15,527,1,teaspoon
15,528,1/4,
15,529,2,taste
15,530,,
15,531,1/2,
15,532,,tablespoons
15,533,4,
15,534,4,cups
15,535,2,
15,536,2,teaspoon
15,537,1,teaspoon
15,538,1/2,tablespoon
15,539,2,tablespoon
15,540,1,taste
15,541,,
16,542,1,teaspoon
16,543,1,taste
16,544,20,
16,545,1,
16,546,10,taste
16,547,,
16,548,500,
16,549,250,
16,550,2,
16,551,4,
16,552,1,
16,553,3,teaspoon
16,554,1/2,teaspoon
16,555,1/2,taste
16,556,,tablespoons
16,557,4,
16,558,3,taste
16,559,,tablespoons
16,560,2,
16,561,,
16,562,500,
16,563,1,taste
16,564,,teaspoon
16,565,1,teaspoon
16,566,1,teaspoon
16,567,1,
16,568,,cups
16,569,2,taste
16,570,,
16,571,,
16,572,,pieces
16,573,300,
16,574,1,
16,575,1,tablespoon
16,576,1,taste
16,577,,
16,578,,
16,579,2,
16,580,1,
16,581,1,
16,582,4,
16,583,2,
16,584,1/2,teaspoon
16,585,1,teaspoon
16,586,1,teaspoon
16,587,1,teaspoon
16,588,1,
16,589,4,taste
16,590,,tablespoon
16,591,1,
16,592,1,
17,593,1,teaspoon
17,594,1,
17,595,1/4,
17,596,3,teaspoon
17,597,1,taste
17,598,,tablespoon
17,599,1,
17,600,5,taste
17,601,,
17,602,,teaspoon
17,603,1,
17,604,,
17,605,1,
17,606,3,
17,607,2,
17,608,2,
17,609,2,teaspoon
17,610,2,tablespoon
17,611,1,taste
17,612,,
17,613,2,
17,614,2,teaspoon
17,615,1,taste
17,616,,teaspoon
17,617,1/2,
17,618,20,
17,619,1,teaspoon
17,620,2,taste
18,621,,
18,622,,
18,623,5,
18,624,1/4,
18,625,2,tablespoon
18,626,1,tablespoons
18,627,2,
18,628,,tablespoons
18,629,2,
18,630,8,teaspoon
18,631,1,
18,632,5,
18,633,2,teaspoon
18,634,1/2,taste
18,635,,
18,636,,teaspoon
18,637,1,
18,638,1,
18,639,,
18,640,1/4,
18,641,2,tablespoon
18,642,1,tablespoons
18,643,2,
18,644,,tablespoons
18,645,2,
18,646,8,teaspoon
18,647,1,
18,648,5,
18,649,2,teaspoon
18,650,1/2,taste
18,651,,
18,652,,teaspoon
18,653,1,
18,654,1,
18,655,,
18,656,1/4,
18,657,1,
18,658,4,
18,659,1/2,
19,660,,
19,661,,
19,662,2,
19,663,2,teaspoons
19,664,2,teaspoon
19,665,1,tablespoon
19,666,1,taste
19,667,,
19,668,1,taste
19,669,,
19,670,,
19,671,2,teaspoon
19,672,1,
19,673,,
19,674,,
19,675,,
19,676,2,teaspoon
19,677,1,teaspoon
19,678,1,teaspoon
19,679,1/2,teaspoon
19,680,1/2,
19,681,,
19,682,1/2,tablespoon
19,683,6,
19,684,5,
19,685,3,
19,686,1,
19,687,8,teaspoon
19,688,1,teaspoon
19,689,2,
19,690,2,
19,691,1,tablespoons
19,692,2,teaspoon
19,693,1,taste
19,694,,
19,695,,
19,696,1,
19,697,1,
19,698,1/4,
19,699,1/4,
19,700,,taste
19,701,,
19,702,3,teaspoon
19,703,1,
19,704,1,teaspoon
19,705,1,taste
19,706,,
20,707,,
20,708,,tablespoon
20,709,4,
20,710,4,
20,711,18,tablespoon
20,712,1,taste
20,713,,
20,714,,
20,715,1,
20,716,4,
20,717,1/2,
20,718,2,
20,719,5,taste
20,720,,
20,721,,
20,722,1,
20,723,1,teaspoon
20,724,1,taste
20,725,,tablespoons
20,726,2,taste
20,727,,teaspoons
20,728,2,
20,729,,
20,730,1/2,
20,731,6,teaspoons
20,732,2,
20,733,4,
20,734,30,tablespoons
20,735,2,
20,736,1/2,
20,737,,teaspoon
20,738,1,
20,739,2,
20,740,2,
20,741,2,
20,742,4,
20,743,2,tablespoons
20,744,2,taste
20,745,,teaspoons
20,746,2,
20,747,,tablespoons
20,748,3,
20,749,3,tablespoon
20,750,1,cups
20,751,3,
20,752,1,tablespoons
20,753,1,taste
21,754,,tablespoon
21,755,1,
21,756,,
21,757,4,teaspoon
21,758,1/2,
21,759,3/4,
21,760,5,
21,761,1,
21,762,1,tablespoon
21,763,1,teaspoon
21,764,1/2,teaspoon
21,765,1,
21,766,,teaspoons
21,767,2,
21,768,,
21,769,1,
21,770,6,
21,771,1/4,teaspoon
21,772,1/2,
21,773,2,teaspoons
21,774,2,
21,775,,
21,776,1,
21,777,10,
21,778,15,
21,779,,
21,780,1,tablespoon
21,781,1,
21,782,,
21,783,1,taste
21,784,,
21,785,1,
21,786,1,
21,787,,tablespoon
21,788,1,
21,789,2,
21,790,,tablespoon
21,791,1,
21,792,2,teaspoons
21,793,2,teaspoon
21,794,1,teaspoon
21,795,1,
21,796,1/4,
21,797,1,
21,798,2,taste
21,799,,
21,800,,teaspoon
21,801,1/4,tablespoon
21,802,1,
21,803,1,
21,804,,
21,805,,teaspoon
22,806,1/2,taste
22,807,,teaspoon
22,808,1,tablespoon
22,809,1,tablespoon
22,810,1,
22,811,,
22,812,,tablespoon
22,813,1,
22,814,2,
22,815,2,
22,816,5,
22,817,1,
22,818,1/2,teaspoon
22,819,1/2,taste
22,820,,
22,821,,
22,822,1,
22,823,12,tablespoon
22,824,1,taste
22,825,,
22,826,,
22,827,1,teaspoons
22,828,2,
22,829,1,
22,830,6,pieces
22,831,1,teaspoon
22,832,1,
22,833,1,teaspoon
22,834,1/2,teaspoon
22,835,1,
22,836,,teaspoon
22,837,1,
22,838,2,taste
22,839,,
22,840,2,teaspoons
22,841,2,teaspoon
22,842,1,
23,843,1/2,
23,844,1,
23,845,,taste
23,846,,
23,847,1/2,
23,848,5,cups
23,849,3,
23,850,,
23,851,2,tablespoon
23,852,1,
23,853,6,
23,854,2,
23,855,2,tablespoons
23,856,3,
23,857,,
23,858,3,
23,859,30,teaspoon
23,860,3,teaspoon
23,861,1,teaspoon
23,862,1/4,
23,863,1/2,teaspoon
23,864,2,taste
23,865,,
23,866,1,cups
23,867,2,taste
23,868,,
23,869,,
23,870,,teaspoon
23,871,1/2,
23,872,1,
23,873,2,
23,874,,teaspoon
23,875,1,
24,876,2,
24,877,2,
24,878,1,
24,879,1,tablespoons
24,880,1,teaspoons
24,881,2,
24,882,4,taste
24,883,,tablespoon
24,884,4,teaspoon
24,885,1,tablespoons
24,886,4,
24,887,2,
24,888,1,tablespoon
24,889,1,
24,890,1/4,teaspoons
24,891,2,taste
24,892,,
24,893,,
24,894,1/2,
24,895,1,
24,896,3,teaspoon
24,897,1/2,
24,898,,tablespoons
25,899,2,
25,900,,
25,901,2,
25,902,4,teaspoons
25,903,2,taste
25,904,,
25,905,,taste
25,906,,
25,907,,
25,908,1/4,
25,909,3,
25,910,,tablespoon
25,911,1,
25,912,8,
25,913,2,
25,914,2,
25,915,1,
25,916,1,
25,917,1,
25,918,1,
25,919,4,tablespoons
25,920,2,tablespoons
25,921,2,teaspoon
25,922,1/2,teaspoon
25,923,1/2,taste
25,924,,
25,925,3,
25,926,,
25,927,,
25,928,9,teaspoon
25,929,1,
25,930,1,
25,931,1,teaspoon
25,932,3/4,
25,933,3,
25,934,1/2,tablespoons
25,935,2,taste
25,936,,
25,937,,
25,938,2,
25,939,3,
25,940,,tablespoon
25,941,1,
25,942,1,
26,943,1,
26,944,,tablespoon
26,945,1,
26,946,1,
26,947,1,
26,948,3,
26,949,1,
26,950,2,taste
26,951,,teaspoon
26,952,1,teaspoon
26,953,1,teaspoon
26,954,1,
26,955,1/4,
26,956,2,
26,957,1,pieces
26,958,1,teaspoon
26,959,1,taste
26,960,,
26,961,2,tablespoon
26,962,1,tablespoon
26,963,1,taste
26,964,,
26,965,,
26,966,1,tablespoon
26,967,1/2,tablespoons
26,968,3,tablespoon
26,969,1/2,teaspoon
26,970,1/2,teaspoon
26,971,1,taste
26,972,,tablespoon
26,973,1,
26,974,1,
26,975,2,
26,976,3,
27,977,1,teaspoon
27,978,1,taste
27,979,,
27,980,,
27,981,1,
27,982,10,
27,983,15,
27,984,,
27,985,1,tablespoon
27,986,1,
27,987,,pieces
27,988,1,
27,989,1,taste
27,990,,
27,991,1,
27,992,1,
27,993,,tablespoon
27,994,1,
27,995,2,
27,996,1,
27,997,2,
27,998,2,teaspoon
27,999,1,teaspoon
27,1000,1/2,
27,1001,,
27,1002,1/4,
27,1003,2,tablespoon
28,1004,1,teaspoon
28,1005,1,teaspoon
28,1006,1,teaspoon
28,1007,1,tablespoon
28,1008,1,taste
28,1009,,
28,1010,1,
28,1011,1,teaspoon
28,1012,2,teaspoon
28,1013,1,teaspoon
28,1014,1,
28,1015,2,
28,1016,,tablespoons
28,1017,2,
28,1018,2,
28,1019,1,tablespoon
28,1020,1,
28,1021,5,
28,1022,,tablespoons
28,1023,2,taste
28,1024,,
28,1025,,
28,1026,1,
28,1027,1/4,
28,1028,1,teaspoon
28,1029,1,teaspoon
28,1030,1,
28,1031,1,teaspoon
28,1032,1,taste
28,1033,,
28,1034,,teaspoons
28,1035,2,
28,1036,4,tablespoons
28,1037,3,tablespoon
28,1038,2,
28,1039,1,tablespoon
28,1040,1,tablespoon
28,1041,1,
28,1042,3,
28,1043,1,tablespoon
28,1044,1/4,tablespoon
28,1045,1/4,tablespoons
28,1046,3,taste
29,1047,,tablespoon
29,1048,1,tablespoon
29,1049,1/2,taste
29,1050,,
29,1051,,
29,1052,2,tablespoon
29,1053,1,
29,1054,1,tablespoon
29,1055,1,teaspoon
29,1056,1/2,taste
29,1057,,
29,1058,1/2,
29,1059,2,
29,1060,,teaspoon
29,1061,1,
29,1062,3,cups
29,1063,2,
29,1064,1,
29,1065,1,
29,1066,2,taste
29,1067,,cups
29,1068,5,teaspoon
29,1069,1,
29,1070,30,
29,1071,1/2,tablespoon
29,1072,1,
29,1073,,pieces
29,1074,500,
29,1075,1/2,taste
29,1076,,tablespoons
29,1077,2,
29,1078,,
29,1079,1,
29,1080,1,
29,1081,8,
30,1082,8,
30,1083,1/2,tablespoon
30,1084,2,
30,1085,15,teaspoon
30,1086,1/2,
30,1087,,
30,1088,2,
30,1089,1,cups
30,1090,6,tablespoons
30,1091,3,taste
30,1092,,
30,1093,,pinch
30,1094,,
30,1095,4,
30,1096,2,
30,1097,,
30,1098,500,teaspoon
30,1099,1,teaspoon
30,1100,1,tablespoon
30,1101,1,
30,1102,,tablespoon
30,1103,1,
30,1104,1,
30,1105,1,taste
30,1106,3,
30,1107,1/4,
30,1108,200,
30,1109,2,
30,1110,4,
30,1111,2,teaspoons
30,1112,2,teaspoon
30,1113,1,teaspoon
30,1114,2,taste
30,1115,,
30,1116,1,teaspoon
30,1117,1/2,teaspoon
30,1118,1,
30,1119,,
31,1120,12,
31,1121,1,
31,1122,4,
31,1123,2,
31,1124,1,taste
31,1125,,teaspoon
31,1126,1,
31,1127,,teaspoon
31,1128,1,
31,1129,2,
31,1130,1,
31,1131,,
31,1132,1,teaspoon
31,1133,1,
31,1134,,
31,1135,,pieces
31,1136,1,
31,1137,1/2,
31,1138,1,
31,1139,1,
31,1140,4,teaspoon
31,1141,1,taste
31,1142,,
32,1143,,
32,1144,,
32,1145,1/2,
32,1146,2,teaspoons
32,1147,2,
32,1148,1,taste
32,1149,,
32,1150,4,
32,1151,1,
32,1152,1,
32,1153,1/4,tablespoon
32,1154,1,
32,1155,,taste
32,1156,,
32,1157,,
32,1158,3,teaspoon
32,1159,1/2,
32,1160,4,teaspoon
32,1161,1,
32,1162,2,
32,1163,1,taste
32,1164,,
32,1165,300,
32,1166,1,
32,1167,1,
32,1168,1,teaspoon
32,1169,2,teaspoon
32,1170,1,taste
32,1171,,
32,1172,,
32,1173,350,
32,1174,300,tablespoons
32,1175,2,
32,1176,6,
32,1177,2,
32,1178,2,
32,1179,2,teaspoon
32,1180,1,teaspoon
32,1181,1,tablespoons
32,1182,2,taste
32,1183,,
32,1184,15,
32,1185,6,teaspoon
32,1186,1,
32,1187,,
32,1188,,
32,1189,300,
32,1190,2,
32,1191,1,
33,1192,1,
33,1193,5,teaspoon
33,1194,1,teaspoon
33,1195,2,
33,1196,1,taste
33,1197,,
33,1198,,gram
33,1199,500,
33,1200,2,
33,1201,1,
33,1202,4,
33,1203,1,
33,1204,6,teaspoon
33,1205,1,taste
33,1206,,
33,1207,,
33,1208,4,
33,1209,,
33,1210,4,taste
33,1211,,
33,1212,2,
33,1213,1,
33,1214,,teaspoon
33,1215,1,tablespoon
33,1216,1,
33,1217,1,tablespoon
33,1218,1,
33,1219,1,tablespoon
33,1220,1,taste
33,1221,,
33,1222,,
33,1223,,
33,1224,4,
33,1225,,
33,1226,1,
33,1227,1,tablespoon
33,1228,1,
33,1229,500,
33,1230,3,
33,1231,4,
34,1232,1,
34,1233,10,teaspoon
34,1234,1/2,
34,1235,1,
34,1236,,tablespoons
34,1237,2,
34,1238,,
34,1239,10,
34,1240,2,
34,1241,1,
34,1242,,
34,1243,2,
34,1244,5,
34,1245,1,
34,1246,1,
34,1247,2,teaspoon
34,1248,1,tablespoon
34,1249,2,taste
34,1250,,
34,1251,,
34,1252,,
34,1253,1/4,
34,1254,1,taste
34,1255,,
34,1256,,teaspoon
34,1257,1,
34,1258,3,
34,1259,1/4,
34,1260,1,taste
34,1261,,
34,1262,,teaspoon
34,1263,1,
34,1264,3,
34,1265,1,
34,1266,8,
35,1267,1/4,
35,1268,1/4,tablespoon
35,1269,1,taste
35,1270,,tablespoon
35,1271,2,
35,1272,1,cups
35,1273,2,taste
35,1274,,
35,1275,,
35,1276,1,teaspoons
35,1277,2,tablespoon
35,1278,1,
35,1279,,
35,1280,1/4,
35,1281,1/2,
35,1282,,taste
35,1283,,
35,1284,,tablespoon
35,1285,1/2,
35,1286,3,
35,1287,1,
35,1288,2,
35,1289,1,
35,1290,1/2,teaspoon
35,1291,1,tablespoon
35,1292,1,
35,1293,1,tablespoon
35,1294,1,taste
35,1295,,
35,1296,2,
35,1297,2,teaspoon
35,1298,1,teaspoon
35,1299,1,teaspoon
35,1300,2,teaspoon
35,1301,2,taste
35,1302,,
36,1303,,
36,1304,2,taste
36,1305,,tablespoons
36,1306,4,
36,1307,,
36,1308,1/4,tablespoons
36,1309,2,
36,1310,2,
36,1311,,tablespoon
36,1312,1,tablespoon
36,1313,1,
36,1314,1,
36,1315,2,teaspoon
36,1316,1,teaspoon
36,1317,1,
36,1318,1/2,taste
36,1319,,tablespoon
36,1320,1,tablespoon
36,1321,1,
36,1322,,tablespoons
36,1323,3,cups
36,1324,2,
36,1325,1,taste
36,1326,,teaspoon
36,1327,2,
36,1328,,cups
36,1329,2,
36,1330,,
36,1331,1/2,
36,1332,3,
36,1333,,teaspoon
36,1334,1,
36,1335,2,
36,1336,,
36,1337,1/4,taste
36,1338,,tablespoon
36,1339,1,
36,1340,2,teaspoon
36,1341,1,
36,1342,,
36,1343,1/4,
36,1344,1,
36,1345,6,
36,1346,250,
36,1347,1/4,
36,1348,1,
36,1349,1,
38,1350,1/4,
38,1351,1,
38,1352,1/4,
38,1353,1/4,
38,1354,1,
38,1355,1,
38,1356,,
38,1357,,
38,1358,,
38,1359,1,
38,1360,2,pieces
38,1361,1,
38,1362,1/4,
38,1363,3,teaspoon
38,1364,1,taste
38,1365,,
38,1366,,
38,1367,,
38,1368,1/4,
38,1369,5,
38,1370,,
38,1371,2,
38,1372,1,
38,1373,1,
39,1374,,tablespoon
39,1375,1,taste
39,1376,,
39,1377,,
39,1378,,
39,1379,,
39,1380,1,tablespoon
39,1381,1,
39,1382,1/2,tablespoons
39,1383,2,teaspoon
39,1384,1,teaspoon
39,1385,1,teaspoon
39,1386,1/2,taste
39,1387,,
39,1388,,
39,1389,,
39,1390,,
39,1391,,cups
39,1392,2,
39,1393,1,
39,1394,2,
39,1395,2,teaspoon
39,1396,1,
39,1397,2,taste
39,1398,,
39,1399,,teaspoons
39,1400,2,
39,1401,10,
39,1402,2,
39,1403,1/4,teaspoons
39,1404,2,tablespoon
39,1405,1,
39,1406,2,tablespoon
39,1407,1,taste
40,1408,,
40,1409,,
40,1410,1,
40,1411,1,
40,1412,4,
40,1413,8,tablespoon
40,1414,1,
40,1415,1,
40,1416,4,
40,1417,1,
40,1418,1,
40,1419,2,
40,1420,,taste
40,1421,,
40,1422,1,taste
40,1423,,
40,1424,,
40,1425,1,
40,1426,1/4,
40,1427,18,
40,1428,3,
40,1429,1,
40,1430,1,
40,1431,2,taste
40,1432,,pieces
40,1433,6,
40,1434,1,
40,1435,1,
40,1436,1,tablespoon
40,1437,1,tablespoons
40,1438,2,teaspoon
40,1439,1,tablespoons
40,1440,2,
40,1441,,teaspoon
40,1442,1,
40,1443,1,
40,1444,3,teaspoon
40,1445,1/2,teaspoon
40,1446,1,
40,1447,1,
40,1448,4,tablespoon
40,1449,1,
40,1450,1/2,
40,1451,6,
40,1452,,
40,1453,1/2,tablespoons
40,1454,6,
40,1455,1,
40,1456,4,
40,1457,,teaspoon
40,1458,1/2,taste
40,1459,,tablespoon
40,1460,1,
40,1461,5,
40,1462,4,
40,1463,5,cups
40,1464,2,
40,1465,,
40,1466,1,teaspoon
40,1467,1/2,taste
40,1468,,tablespoons
40,1469,2,
40,1470,2,
41,1471,4,
41,1472,2,
41,1473,2,teaspoon
41,1474,1/2,teaspoon
41,1475,1/2,tablespoon
41,1476,1,taste
41,1477,,
41,1478,3,teaspoon
41,1479,1/2,
41,1480,2,teaspoon
41,1481,1/2,tablespoons
41,1482,2,tablespoon
41,1483,1,
41,1484,,tablespoons
41,1485,3,
41,1486,,tablespoons
41,1487,2,
41,1488,4,tablespoon
41,1489,1,
41,1490,30,tablespoon
41,1491,1,taste
41,1492,,
41,1493,1/2,
41,1494,1/4,
41,1495,1,
41,1496,,tablespoon
41,1497,1,teaspoon
41,1498,1,
41,1499,1,tablespoons
42,1500,3,tablespoon
42,1501,1,
42,1502,2,teaspoons
42,1503,2,taste
42,1504,,
42,1505,300,
42,1506,1,
42,1507,1,tablespoons
42,1508,3,
42,1509,1,teaspoons
42,1510,2,taste
42,1511,,teaspoon
42,1512,1,teaspoon
42,1513,1,taste
42,1514,,
42,1515,,
42,1516,1,tablespoons
42,1517,2,
42,1518,1/4,taste
42,1519,,tablespoons
42,1520,4,
42,1521,1,
42,1522,,
42,1523,3,
42,1524,,cups
42,1525,2,taste
42,1526,,teaspoon
42,1527,1,
42,1528,,teaspoon
42,1529,1,
42,1530,1,
42,1531,5,
42,1532,1,
42,1533,2,teaspoon
42,1534,1/2,teaspoon
42,1535,1,taste
42,1536,,
42,1537,,
42,1538,1/4,tablespoons
43,1539,2,cups
43,1540,3,tablespoon
43,1541,1,teaspoon
43,1542,3/4,
43,1543,1,teaspoon
43,1544,1/2,tablespoon
43,1545,1,tablespoon
43,1546,1,tablespoon
43,1547,1/2,tablespoon
43,1548,1,
43,1549,,cups
43,1550,2,cups
43,1551,3,taste
43,1552,,tablespoon
43,1553,3,
43,1554,,
43,1555,1/4,
43,1556,1/4,
43,1557,1/4,
